title,NER,ingredients
Chicken Funny,"[""chicken gravy"", ""cream of mushroom soup"", ""chicken"", ""shredded cheese""]","[""1 large whole chicken"", ""2 (10 1/2 oz.) cans chicken gravy"", ""1 (10 1/2 oz.) can cream of mushroom soup"", ""1 (6 oz.) box Stove Top stuffing"", ""4 oz. shredded cheese""]"
Cheeseburger Potato Soup,"[""sour cream"", ""bacon"", ""pepper"", ""extra lean ground beef"", ""cheddar cheese"", ""green onion"", ""baking potatoes"", ""milk"", ""butter"", ""salt""]","[""6 baking potatoes"", ""1 lb. of extra lean ground beef"", ""2/3 c. butter or margarine"", ""6 c. milk"", ""3/4 tsp. salt"", ""1/2 tsp. pepper"", ""1 1/2 c (6 oz.) shredded Cheddar cheese"", ""divided"", ""12 sliced bacon"", ""cooked"", ""crumbled and divided"", ""4 green onion"", ""chopped and divided"", ""1 (8 oz.) carton sour cream (optional)""]"
Nolan'S Pepper Steak,"[""oil"", ""tomatoes"", ""green peppers"", ""water"", ""onions"", ""worcestershire sauce""]","[""1 1/2 lb. round steak (1-inch thick)"", ""cut into strips"", ""1 can drained tomatoes"", ""cut up (save liquid)"", ""1 3/4 c. water"", ""1/2 c. onions"", ""1 1/2 Tbsp. Worcestershire sauce"", ""2 green peppers"", ""diced"", ""1/4 c. oil""]"
Broccoli Salad,"[""bacon"", ""vinegar"", ""sugar"", ""green onions"", ""raisins"", ""mayonnaise"", ""broccoli""]","[""1 large head broccoli (about 1 1/2 lb.)"", ""10 slices bacon"", ""cooked and crumbled"", ""5 green onions"", ""sliced or 1/4 c. chopped red onion"", ""1/2 c. raisins"", ""1 c. mayonnaise"", ""2 Tbsp. vinegar"", ""1/4 c. sugar""]"
Cuddy Farms Marinated Turkey,"[""garlic"", ""vegetable oil"", ""soy sauce""]","[""2 c. 7-Up or Sprite"", ""1 c. vegetable oil"", ""1 c. Kikkoman soy sauce"", ""garlic salt""]"
Prize-Winning Meat Loaf,"[""egg"", ""tomato juice"", ""pepper"", ""oats"", ""onion"", ""ground beef"", ""salt""]","[""1 1/2 lb. ground beef"", ""1 c. tomato juice"", ""3/4 c. oats (uncooked)"", ""1 egg"", ""beaten"", ""1/4 c. chopped onion"", ""1/4 tsp. pepper"", ""1 1/2 tsp. salt""]"
Taco-Filled Green Pepper,"[""tomato"", ""sour cream"", ""green peppers"", ""cheddar cheese"", ""onion"", ""salsa"", ""taco seasoning"", ""beans"", ""ground beef""]","[""1 lb. Ground Beef"", ""1 pkg. taco seasoning"", ""1 san Kidney beans"", ""1 onion"", ""chopped"", ""1 C salsa"", ""4 green peppers"", ""1 medium Tomato"", ""chopped"", ""1/2 C cheddar cheese"", ""shredded"", ""1/2 C sour cream""]"
Summer Chicken,"[""oil"", ""oregano"", ""red vinegar"", ""garlic salt"", ""chicken cutlets""]","[""1 pkg. chicken cutlets"", ""1/2 c. oil"", ""1/3 c. red vinegar"", ""2 Tbsp. oregano"", ""2 Tbsp. garlic salt""]"
Tuna Macaroni Casserole,"[""tuna"", ""pimentos"", ""onion"", ""macaroni""]","[""1 box macaroni and cheese"", ""1 can tuna"", ""drained"", ""1 small jar pimentos"", ""1 medium onion"", ""chopped""]"
Summer Spaghetti,"[""salad supreme"", ""italian dressing""]","[""1 lb. very thin spaghetti"", ""1/2 bottle McCormick Salad Supreme (seasoning)"", ""1 bottle Zesty Italian dressing""]"
