Disease,Best_Foods,Worst_Foods,Best_Nutrition,Worst_Nutrition
cardia cancer,"['fresh oregano', 'white pepper']","['cheese', 'chunky salsa', 'tomatoes']","['high magnesium', 'high vitamin c', 'low carbohydrate']","['high sodium', 'low iron']"
immunodeficiency 31A,"['bacon', 'baking potatoes', 'egg']","['onions', 'red chili pepper', 'tomato paste']","['high fiber', 'low sodium']","['low iron', 'low protein', 'low vitamin c']"
non-congenital cyst of kidney,"['corn meal', 'salt']","['boneless skinless chicken breasts', 'bread crumbs', 'italian dressing']","['high iron', 'low carbohydrate']","['high calories', 'low calcium', 'low vitamin c']"
cerebral cavernous malformation 3,"['pepper', 'salt']","['crackers', 'eggs', 'mayonnaise']","['high iron', 'high magnesium']","['high calories', 'high sodium', 'low calcium']"
psoriasis 3,"['freshly ground black pepper', 'sesame oil', 'soy sauce']","['hamburger', 'onion', 'potatoes']","['low carbohydrate', 'low cholesterol']","['high total fats', 'low protein']"
schizophrenia 18,"['chicken', 'cream of mushroom soup', 'noodles']","['rectangular club rolls', 'shredded lettuce']","['low calories', 'low cholesterol']","['high sodium', 'low fiber', 'low vitamin c']"
spastic entropion,"['fettucine noodles', 'pepper']","['fresh mushrooms', 'onion']","['high fiber', 'low cholesterol', 'low total fats']","['high calories', 'low calcium', 'low iron']"
coronary restenosis,"['olive oil', 'pepper']","['curry powder', 'salt', 'thyme']","['high fiber', 'high potassium', 'high protein']","['high cholesterol', 'low calcium', 'low vitamin c']"
holoprosencephaly,"['ground beef', 'pepper', 'tomatoes']","['heavy cream', 'leeks']","['high iron', 'low sodium']","['high calories', 'high carbohydrate']"
uveal cancer,"['margarine', 'mozzarella cheese', 'tomatoes']","['green bell pepper', 'salt', 'vegetable oil']","['high fiber', 'high protein', 'low calories']","['low iron', 'low potassium', 'low vitamin c']"
neuroma,"['chicken drummettes', 'garlic']","['eggs', 'green pepper']","['high vitamin c', 'low carbohydrate']","['high calories', 'high cholesterol', 'low calcium']"
neuroleptic malignant syndrome,"['garlic sauce', 'ground beef', 'salt']","['cucumber', 'salt', 'sugar']","['high magnesium', 'high vitamin c']","['high carbohydrate', 'high sodium', 'low protein']"
oculocerebrorenal syndrome,"['dark molasses', 'worcestershire sauce']","['cream of celery', 'velveeta cheese']","['high potassium', 'low carbohydrate', 'low cholesterol']","['low fiber', 'low magnesium', 'low vitamin c']"
